Fold,Target,MAE,RMSE,MAPE (%),R²
1,nat_demand,20.669450398096078,26.017060718332917,1.6654386393247185,0.9806021082705977
1,load_tocumen_mwh,16.864851013034965,21.365171316879334,1.6587317163197224,0.9806127222515205
1,load_santiago_mwh,1.4209349289712245,1.758339685824236,1.8291302314055575,0.9780797378022554
1,load_david_mwh,2.5407668288884766,3.184674250176346,1.7707850115847714,0.9780685521687209
2,nat_demand,27.778888541360402,41.732804031261445,2.203502260647926,0.9401239082619535
2,load_tocumen_mwh,23.452457835023147,36.698304914566535,2.2739667499550973,0.9315899112703429
2,load_santiago_mwh,1.8842476342128265,2.8039665256059667,2.381908537776683,0.9321251979763806
2,load_david_mwh,3.382318521419692,4.860616448532137,2.341396172089362,0.9379303415646848
3,nat_demand,26.02577032059948,37.230621401120324,2.3195651735542473,0.9496527100981198
3,load_tocumen_mwh,21.5454893542407,30.208867977372083,2.333272582159534,0.9511867176675161
3,load_santiago_mwh,1.6529942660524841,2.2839266106633227,2.292889274514608,0.9518731137196721
3,load_david_mwh,3.0037634711485466,4.1749087914924425,2.2985385209062894,0.9507605565322129
