record_no,company,project,province,district,corregimiento,capacity_mw,commercial_operation_date,status,technology
47,Celsolar S.A.,Prudencia ,Chiriquí,David, Las Lomas,9.69,14 de enero de 2022,Operación Comercial,Fotovoltaica
48,"Solar Boqueron, S.A.",Macanosolar I y II,Chiriquí ,Boqueron ,Paraiso,4.75,"20 de dic de 2021 (  I Fase)
23 de marzo de 2023 (II Fase prueba)
",Operación Comercial,Fotovoltaica
49,"Jaguito Solar 10 MW, S.A.",Jagüito Solar,Coclé,Aguadulce,El Roble,9.88,Por definir ,PRUEBA,Fotovoltaica
50,AES Panamá S.R.L,Caoba Solar ,Chiriquí , Boqueron, Boqueron,9.96,2022-06-13 00:00:00,Operación Comercial,Fotovoltaica
51,AES Panamá S.R.L,Cedro Solar ,Chiriquí , Boqueron, Boqueron,9.96,2022-06-13 00:00:00,Operación Comercial,Fotovoltaica
52,Mas PV Panama Inc,Sunrise MASPV 1,Panama Oeste,La Chorrera,Herrera,0.5,Por definir ,Prueba ,Fotovoltaica
53,"Generadora Solar  Austral, S.A.",Madre Vieja ,Chiriquí,Barú,Progreso ,25.0,Por definir ,Prueba ,Fotovoltaica
54,"Argentum Solar, S.A.",Río de Jesús,Veraguas,Río de Jesús ,Río de Jesús ,9.99,Por definir ,Prueba ,Fotovoltaica
55,"Oro  Solar, S.A.",Oro  Solar,Herrera ,Parita ,Parita ,9.9,Por definir ,Prueba ,Fotovoltaica
56,"Andreas Power Energy, Corp.",Andreas Power ,Chiriquí,San Felix ,San Felix ,0.99,Por definir ,Prueba ,Fotovoltaica
57,Panasolar Green Energy Corp. ,Panasolar II,Coclé, Aguadulce, El Roble,5.0,Por definir ,Prueba ,Fotovoltaica
58,Panasolar Green  Power  S.A.,Panasolar III,Coclé, Aguadulce, El Roble,5.0,Por definir ,Prueba ,Fotovoltaica
59,"Farrallón Solar 2, S.A.",Farallón Solar 2,Coclé,Antón,Río Hato ,5.16,Por definir ,Prueba ,Fotovoltaica
60,"Generadora Solar  El Puerto,  S.A.",Baco Solar ,Chiriqui,Barú,Progreso ,25.9,Por definir ,Prueba ,Fotovoltaica
