iter	Passed	Remaining
410	4357	4124
411	4367	4112
412	4378	4102
413	4387	4091
414	4398	4080
415	4409	4070
416	4418	4058
417	4428	4047
418	4439	4036
419	4449	4025
420	4459	4014
421	4468	4002
422	4479	3992
423	4489	3981
424	4500	3970
425	4510	3960
426	4519	3948
427	4530	3937
428	4541	3927
429	4549	3914
430	4560	3904
431	4569	3892
432	4578	3880
433	4589	3870
434	4599	3859
435	4609	3848
436	4619	3837
437	4629	3826
438	4641	3816
439	4650	3804
440	4660	3793
441	4670	3782
442	4680	3771
443	4690	3760
444	4700	3749
445	4711	3739
446	4721	3728
447	4731	3717
448	4741	3706
449	4750	3695
450	4760	3683
451	4772	3674
452	4780	3661
453	4791	3651
454	4802	3641
455	4810	3629
456	4821	3619
457	4831	3607
458	4841	3596
459	4851	3585
460	4861	3574
461	4872	3564
462	4880	3552
463	4891	3541
464	4902	3531
465	4911	3520
466	4922	3510
467	4933	3499
468	4943	3488
469	4953	3478
470	4963	3466
471	4973	3456
472	4984	3445
473	4993	3434
474	5005	3424
475	5016	3414
476	5025	3403
477	5037	3393
478	5046	3381
479	5056	3371
480	5068	3361
481	5077	3349
482	5086	3338
483	5095	3327
484	5105	3316
485	5117	3306
486	5126	3294
487	5137	3284
488	5147	3274
489	5157	3262
490	5168	3252
491	5177	3240
492	5188	3230
493	5198	3220
494	5209	3209
495	5219	3198
496	5230	3188
497	5240	3178
498	5251	3167
499	5260	3156
500	5270	3145
501	5280	3134
502	5291	3124
503	5301	3113
504	5311	3102
505	5320	3091
506	5332	3081
507	5340	3069
508	5351	3059
509	5362	3049
510	5370	3037
511	5381	3027
512	5391	3016
513	5402	3005
514	5413	2995
515	5421	2983
516	5432	2973
517	5442	2963
518	5452	2952
519	5463	2942
520	5472	2930
521	5482	2920
522	5493	2909
523	5502	2898
524	5513	2887
525	5521	2876
526	5532	2865
527	5543	2855
528	5552	2844
529	5564	2834
530	5574	2823
531	5583	2812
532	5594	2802
533	5604	2791
534	5614	2781
535	5624	2770
536	5633	2759
537	5644	2748
538	5653	2737
539	5663	2726
540	5673	2716
541	5683	2705
542	5693	2694
543	5703	2683
544	5714	2673
545	5725	2663
546	5734	2652
547	5746	2642
548	5756	2631
549	5765	2620
550	5775	2610
551	5785	2599
552	5795	2588
553	5805	2577
554	5814	2566
555	5826	2556
556	5837	2546
557	5846	2535
558	5857	2525
559	5866	2514
560	5876	2503
561	5887	2493
562	5897	2482
563	5908	2472
564	5917	2461
565	5927	2450
566	5938	2440
567	5947	2429
568	5959	2419
569	5970	2408
570	5979	2398
571	5990	2387
572	6001	2377
573	6010	2366
574	6021	2356
575	6030	2345
576	6041	2334
577	6052	2324
578	6061	2313
579	6071	2303
580	6081	2292
581	6092	2282
582	6103	2271
583	6111	2260
584	6122	2250
585	6132	2239
586	6141	2228
587	6152	2218
588	6161	2207
589	6172	2196
590	6183	2186
591	6192	2175
592	6203	2165
593	6212	2154
594	6222	2143
595	6233	2133
596	6243	2122
597	6253	2112
598	6263	2101
599	6273	2091
600	6284	2080
601	6293	2070
602	6304	2059
603	6314	2049
604	6324	2038
605	6334	2028
606	6343	2017
607	6353	2006
608	6364	1996
609	6374	1985
610	6385	1975
611	6395	1964
612	6404	1953
613	6415	1943
614	6423	1932
615	6434	1922
616	6444	1911
617	6453	1900
618	6465	1890
619	6474	1879
620	6484	1869
621	6495	1858
622	6504	1848
623	6515	1837
624	6524	1826
625	6535	1816
626	6545	1806
627	6555	1795
628	6565	1784
629	6574	1773
630	6584	1763
631	6596	1753
632	6605	1742
633	6615	1732
634	6625	1721
635	6635	1711
636	6646	1700
637	6657	1690
638	6667	1679
639	6677	1669
640	6687	1658
641	6697	1648
642	6708	1638
643	6717	1627
644	6729	1617
645	6739	1606
646	6749	1596
647	6761	1585
648	6771	1575
649	6781	1564
650	6792	1554
651	6802	1544
652	6813	1533
653	6823	1523
654	6832	1512
655	6843	1502
656	6852	1491
657	6863	1481
658	6874	1470
659	6883	1460
660	6894	1449
661	6904	1439
662	6914	1428
663	6925	1418
664	6934	1407
665	6945	1397
666	6956	1387
667	6965	1376
668	6976	1366
669	6987	1355
670	6996	1345
671	7008	1334
672	7017	1324
673	7027	1313
674	7037	1303
675	7047	1292
676	7058	1282
677	7067	1271
678	7078	1261
679	7089	1251
680	7098	1240
681	7108	1229
682	7118	1219
683	7127	1208
684	7137	1198
685	7147	1187
686	7157	1177
687	7167	1166
688	7177	1156
689	7188	1145
690	7198	1135
691	7208	1125
692	7218	1114
693	7227	1103
694	7238	1093
695	7247	1082
696	7257	1072
697	7267	1062
698	7277	1051
699	7288	1041
700	7298	1030
701	7308	1020
702	7319	1009
703	7328	999
704	7338	988
705	7349	978
706	7358	967
707	7369	957
708	7379	947
709	7390	936
710	7400	926
711	7410	915
712	7420	905
713	7431	895
714	7440	884
715	7451	874
716	7460	863
717	7471	853
718	7482	842
719	7492	832
720	7503	822
721	7513	811
722	7522	801
723	7534	790
724	7542	780
725	7552	769
726	7562	759
727	7571	748
728	7583	738
729	7592	728
730	7603	717
731	7614	707
732	7623	696
733	7634	686
734	7643	675
735	7654	665
736	7665	655
737	7674	644
738	7684	634
739	7695	623
740	7705	613
741	7718	603
742	7730	593
743	7738	582
744	7748	572
745	7757	561
746	7767	551
747	7779	540
748	7788	530
749	7799	519
750	7809	509
751	7820	499
752	7830	488
753	7839	478
754	7850	467
755	7862	457
756	7871	447
757	7881	436
758	7891	426
759	7901	415
760	7912	405
761	7921	395
762	7934	384
763	7945	374
764	7954	363
765	7964	353
766	7976	343
767	7985	332
768	7997	322
769	8008	312
770	8017	301
771	8028	291
772	8037	280
773	8047	270
774	8058	259
775	8067	249
776	8077	239
777	8086	228
778	8096	218
779	8107	207
780	8116	197
781	8126	187
782	8135	176
783	8146	166
784	8157	155
785	8167	145
786	8177	135
787	8187	124
788	8197	114
789	8208	103
790	8216	93
791	8226	83
792	8236	72
793	8247	62
794	8258	51
795	8269	41
796	8279	31
797	8290	20
798	8299	10
799	8309	0
